Aplicação,Métrica,Algoritmo,Erro médio absoluto,Erro médio quadrado,Coeficiente de determinação (R²),Tempo de execução(em segundos),API
_.dellsvc,REQUEST,AutoArima,"167.754,529010","67.675.058.486,452500","-1.292,327749","209,651184",API 1
at1-script-gw.script-gw-_,REQUEST,Redes Neurais Recorrentes,"165.555,100462","144.199.684.804,620000","-0,661208","330,475713",API 2
at1-script-gw.script-gw-_,REQUEST,Redes Neurais Convolucionais,"415.887,982196","417.602.713.155,291000","-0,707024","54,180919",API 2
at1-script-gw.script-gw-_,REQUEST,XGBoost,"22.223,556207","2.298.633.369,939480","-15,420085","1,545528",API 2
at1-script-gw.script-gw-_,REQUEST,AutoArima,"302.015,727977","309.392.794.139,906000","-8,589727","105,292604",API 2
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),REQUEST,Redes Neurais Recorrentes,"16.235,053479","1.164.746.156,780120","0,062859","391,442160",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),REQUEST,Redes Neurais Convolucionais,"26.714,280415","3.025.760.254,698310","-0,273777","143,002418",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),REQUEST,XGBoost,"22.223,556207","2.298.633.369,939480","-15,420085","1,545528",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),REQUEST,AutoArima,"18.023,088454","2.061.575.393,998260","-8,770840","160,861034",API 3
atl-ce-routing.scg-router-app_,REQUEST,Redes Neurais Recorrentes,"2.125,570513","26.694.119,351213","-0,475712","331,341012",API 4
atl-ce-routing.scg-router-app_,REQUEST,Redes Neurais Convolucionais,"43.267,705205","1.895.488.676,176170","-82,813582","82,596519",API 4
atl-ce-routing.scg-router-app_,REQUEST,XGBoost,"6.113,400226","73.096.973,923145","-173,827960","1,292954",API 4
atl-ce-routing.scg-router-app_,REQUEST,AutoArima,"201.542,056075","40.662.051.401,869100","0,000000","90,884819",API 4
Azure DevOps Server (tfs)_,REQUEST,Redes Neurais Recorrentes,"40.546,411537","3.004.863.851,024990","0,931518","188,377419",API 5
Azure DevOps Server (tfs)_,REQUEST,Redes Neurais Convolucionais,"188.035,886499","54.030.722.229,846600","-0,130261","75,077006",API 5
Azure DevOps Server (tfs)_,REQUEST,XGBoost,"196.243,967755","67.697.297.187,740500","-3,262384","1,639393",API 5
Azure DevOps Server (tfs)_,REQUEST,AutoArima,"185.509,023273","49.535.355.840,221300","-15,697221","652,714298",API 5
BATCH Dell.Pricing.Discount.WebApi_,REQUEST,Redes Neurais Recorrentes,"864.755,943418","1.224.307.702.651,630000","0,769125","330,941451",API 6
BATCH Dell.Pricing.Discount.WebApi_,REQUEST,Redes Neurais Convolucionais,"1.705.549,394164","4.364.865.592.173,590000","-0,020339","82,874094",API 6
BATCH Dell.Pricing.Discount.WebApi_,REQUEST,XGBoost,"2.215.003,929398","7.312.017.643.759,650000","-2,519979","1,813798",API 6
BATCH Dell.Pricing.Discount.WebApi_,REQUEST,AutoArima,"2.303.349,020406","8.442.389.060.938,460000","-28,473489","338,053235",API 6
BATCH EM DCP.PricingService_,REQUEST,Redes Neurais Recorrentes,"299.770,814737","142.385.530.226,589000","-0,372956","330,510562",API 7
BATCH EM DCP.PricingService_,REQUEST,Redes Neurais Convolucionais,"363.154,395401","209.449.206.081,231000","-0,136224","78,811218",API 7
BATCH EM DCP.PricingService_,REQUEST,XGBoost,"507.516,529261","383.883.989.942,099000","-1,451540","17,889457",API 7
BATCH EM DCP.PricingService_,REQUEST,AutoArima,"458.608,644055","320.452.960.404,771000","-7,342904","269,880847",API 7
dell.com_shop,REQUEST,Redes Neurais Recorrentes,"125.056,293880","36.260.846.687,047300","0,738282","327,945611",API 8
dell.com_shop,REQUEST,Redes Neurais Convolucionais,"354.562,623640","198.779.885.323,936000","-0,292572","80,793737",API 8
dell.com_shop,REQUEST,XGBoost,"371.181,092014","213.254.889.836,796000","-3,161562","-3,161562",API 8
dell.com_shop,REQUEST,AutoArima,"434.615,161596","314.134.252.602,376000","-5.140.763.293.701.460,000000","148,217416",API 8
BATCH SnpServiceAPI_,REQUEST,Redes Neurais Recorrentes,"143.315,068215","46.649.243.000,446300","0,894590","332,272002",API 9
BATCH SnpServiceAPI_,REQUEST,Redes Neurais Convolucionais,"582.560,391865","558.530.893.415,178000","-0,266289","43,735218",API 9
BATCH SnpServiceAPI_,REQUEST,XGBoost,"674.987,524045","729.761.533.395,413000","-0,821401","7,637803",API 9
BATCH SnpServiceAPI_,REQUEST,AutoArima,"752.801,194306","878.887.871.170,854000","-1,081873","156,848863",API 9
